_id,close,date,high,low,open,quoteVolume,volume,weightedAverage
60c98ef2a5212bf4bc1a74a9,0.00203815,2020-01-01T03:00:00.000Z,0.00203815,0.00203815,0.00203815,0,0,0.00203815
60c98ef2a5212bf4bc1a74aa,0.002,2020-01-02T00:00:00.000Z,0.00203888,0.0019551,0.0020158,819800.81943268,1634.22998503,0.00199344
60c98ef2a5212bf4bc1a74ab,0.002025,2020-01-03T00:00:00.000Z,0.00202946,0.00196354,0.00196373,479041.35922544,963.70425633,0.00201173
60c98ef2a5212bf4bc1a74ac,0.00206647,2020-01-04T00:00:00.000Z,0.00207014,0.00202755,0.002035,4110121.23400696,8434.62542194,0.00205215
60c98ef2a5212bf4bc1a74ad,0.00207192,2020-01-05T00:00:00.000Z,0.00208851,0.00204744,0.00206488,3062925.15149498,6339.55702557,0.00206977
60c98ef2a5212bf4bc1a74ae,0.00211439,2020-01-06T00:00:00.000Z,0.00213942,0.00207409,0.00207409,3968944.8273897,8405.02572989,0.00211769
60c98ef2a5212bf4bc1a74af,0.0021803,2020-01-07T00:00:00.000Z,0.00219678,0.00211001,0.0021285,4596188.25306907,9874.05084593,0.00214831
60c98ef2a5212bf4bc1a74b0,0.00210928,2020-01-08T00:00:00.000Z,0.00223034,0.00207756,0.00218161,5370272.26126419,11703.9217719,0.00217939
60c98ef2a5212bf4bc1a74b1,0.00211595,2020-01-09T00:00:00.000Z,0.0021501,0.00206684,0.00210928,871419.28365562,1838.13845389,0.00210936
60c98ef2a5212bf4bc1a74b2,0.002208,2020-01-10T00:00:00.000Z,0.002208,0.002108,0.0021419,2695003.89914694,5823.25489426,0.00216075
60c98ef2a5212bf4bc1a74b3,0.00217117,2020-01-11T00:00:00.000Z,0.00224466,0.00216349,0.00221362,3961768.30069734,8739.62757079,0.00220599
60c98ef2a5212bf4bc1a74b4,0.00219946,2020-01-12T00:00:00.000Z,0.00221098,0.00215838,0.00217026,2017847.39164626,4427.41602885,0.00219412
60c98ef2a5212bf4bc1a74b5,0.00217483,2020-01-13T00:00:00.000Z,0.0022136,0.002165,0.00218201,4211637.2750438,9179.40355898,0.00217953
