_id,close,date,high,low,open,quoteVolume,volume,weightedAverage
60c98ef0a5212bf4bc1a7294,7201.56316558,2020-01-01T03:00:00.000Z,7201.56316558,7201.56316558,7201.56316558,0,0,7201.56316558
60c98ef0a5212bf4bc1a7295,6965.96577138,2020-01-02T00:00:00.000Z,7211.745123,6933.79000002,7198.22265759,3595.46984614,25562358.87402523,7109.60179556
60c98ef0a5212bf4bc1a7296,7344.84012792,2020-01-03T00:00:00.000Z,7402,6870.86130202,6964.86861392,5002.01858339,36080284.81427481,7213.14489595
60c98ef0a5212bf4bc1a7297,7352.47412649,2020-01-04T00:00:00.000Z,7403.0402129,7274.12349904,7344.65455073,4231.47838825,31022711.57165996,7331.41203268
60c98ef0a5212bf4bc1a7298,7359.66822393,2020-01-05T00:00:00.000Z,7494.99999999,7320.1489101,7353.49967084,4344.69219618,32306187.66279312,7435.78283662
60c98ef0a5212bf4bc1a7299,7756.35259299,2020-01-06T00:00:00.000Z,7797.7,7347.18857922,7357.40000015,3801.85330696,28650847.55296537,7536.02131374
60c98ef0a5212bf4bc1a729a,8150.7253787,2020-01-07T00:00:00.000Z,8200,7709.27,7761.03235428,3661.66887362,29008509.70703789,7922.20998354
60c98ef0a5212bf4bc1a729b,8052.34312978,2020-01-08T00:00:00.000Z,8453.97641769,7872.80802,8150,3675.97209227,30256783.06418537,8230.96103689
60c98ef0a5212bf4bc1a729c,7821.52457833,2020-01-09T00:00:00.000Z,8052.52381603,7752,8052.44312985,3709.3809406,29279520.31889447,7893.37110093
60c98ef0a5212bf4bc1a729d,8194.15195409,2020-01-10T00:00:00.000Z,8194.34559945,7676.27,7819.57439255,4642.97514986,36801811.78404105,7926.34261356
60c98ef0a5212bf4bc1a729e,8022.57252717,2020-01-11T00:00:00.000Z,8284.21185622,8005.48583795,8196.888,3372.56822162,27380837.26098883,8118.69040497
60c98ef0a5212bf4bc1a729f,8182.70086811,2020-01-12T00:00:00.000Z,8190.05279821,7962.61894706,8025.83378365,3336.51064735,27067175.88960965,8112.42005509
60c98ef0a5212bf4bc1a72a0,8108.02777796,2020-01-13T00:00:00.000Z,8195.17813482,8043.77323451,8184.42365999,3504.66597622,28422348.14488077,8109.85935256
60c98ef0a5212bf4bc1a72a1,8815.80776655,2020-01-14T00:00:00.000Z,8870.99999999,8106.53544111,8106.66475245,5418.54542773,46414508.60460107,8565.86130422
60c98ef0a5212bf4bc1a72a2,8825.80801503,2020-01-15T00:00:00.000Z,8913.82118624,8571.00819079,8814.52355716,3823.73633884,33506668.33790639,8762.80825054
60c98ef0a5212bf4bc1a72a3,8724.52752597,2020-01-16T00:00:00.000Z,8860.30397419,8594.52742722,8822.60840754,3442.12430657,29906850.18584774,8688.4863887
60c98ef0a5212bf4bc1a72a4,8912.81716409,2020-01-17T00:00:00.000Z,9031.15376085,8674.89231228,8724.47752596,4734.87074309,42041894.11894177,8879.20629729
60c98ef0a5212bf4bc1a72a5,8916.54205724,2020-01-18T00:00:00.000Z,8986.14219055,8808.00000002,8914.6767085,3803.87441095,33849582.5816068,8898.71192491
60c98ef0a5212bf4bc1a72a6,8704.18040015,2020-01-19T00:00:00.000Z,9195,8450.32268443,8916.44205717,4251.12287906,37591682.95538313,8842.76555273
60c98ef0a5212bf4bc1a72a7,8642.95749646,2020-01-20T00:00:00.000Z,8748.81452489,8524.99999999,8704.24832919,3155.78918703,27296659.211991,8649.70934185
60c98ef0a5212bf4bc1a72a8,8735.77037597,2020-01-21T00:00:00.000Z,8798.43238574,8499,8643.19382929,2932.03941303,25375886.05682775,8654.68790905
60c98ef0a5212bf4bc1a72a9,8683.4489015,2020-01-22T00:00:00.000Z,8813.6313722,8600,8737.18710436,2708.74833885,23536768.51543949,8689.16767861
60c98ef0a5212bf4bc1a72aa,8405.69328988,2020-01-23T00:00:00.000Z,8689.79999997,8307.7186295,8683.54890149,3237.42556285,27347363.5701012,8447.25632734
60c98ef0a5212bf4bc1a72ab,8441.24707314,2020-01-24T00:00:00.000Z,8522.67829782,8239.54530665,8405.6316685,2903.79028197,24377629.07184733,8395.10663811
60c98ef0a5212bf4bc1a72ac,8342.54913203,2020-01-25T00:00:00.000Z,8452.57562687,8272.60142083,8440.10103313,1902.82096486,15872716.5861093,8341.67632122
60c98ef0a5212bf4bc1a72ad,8614.72295503,2020-01-26T00:00:00.000Z,8617.09588139,8296.6230346,8342.1339092,2328.59174453,19731584.13504288,8473.6125091
